Island,ID,Geologic Area,Name,Rock type,AgeUpBound,AgeLowBound,AgeMeth,MagMin,Primary,FieldTest,MaxAgeMag,MinAgeMag,nSample,Nsites,Dec,Inc,a95,k,A95_VGP,K_VGP,BedStrike,BedDip,Lat,Long,Plat,Plong,Lambda,Ref,DOI,Comments,
F. MAGNA,FM-7-1,Uchiyama,Chichibu Qz-Diorite,Quartz diorite,8,6,K-Ar,Magnetite,Y,Reversal,,,134,21,3.5,64.4,5.1,40.2,6.7,23.4,,,36,138.83,79.4,152.1,46.22167954,"Takahashi and Nomura, 1989",10.5636/jgg.41.479,,
F. MAGNA,FM-8-1,Boso Peninsula,Nishizaki Fm.,Siltstone,9.9,6.8,Biostrat,Magnetite,Y,Fold/Tilt test,,,222,15,47.5,44.9,5.9,42.5,6.69,33.65,,,35,140,48.69,228.4,26.48513484,"Yamamoto and Kawakami, 2005",10.1111/j.1440-1738.2005.00463.x,,
F. MAGNA,FM-8-2,NE Central Jap,Ya+Shi+Ki+KatNE+Ok+As,Welded Tuff,10.9,5,FT,Magnetite + Hematite,Y,Fold-test,,,220,21,0.2,43.9,8.5,43.5,8.9,,Individual,,36.8,139.3,79.3,315.7,25.6950338,"Otofuji et al., 1997",10.1016/S0040-1951(97)00065-6,,
F.MAGNA,FM-8-3,Miura Peninsula,Miura + Hayama,Tuff+Tuff.Silst,11.6,5.3,Biostrat,Goethite?,Y,Bedding-Tilt,,,187,25,20.7,38.8,6.4,21.2,6.4,21.7,Individual,,35.16,139.5,67.57,260.22,21.90063623,"Yoshida et al., 1984",10.5636/jgg.36.579,Calculated in April 2020,
F. MAGNA,FM-20-1,Chichibu,Chichibu basin,SS/MS/T/TS,23,16,Biostrat,Magnetite,Y,Reversal,,,53,11,93.7,52,8.3,31.4,9.9,22.1,n.s.,n.s.,36,139,15.83,199.89,32.61805682,"Hyodo and Nitsuma, 1986",10.5636/jgg.38.335,Averaged in March 2020,
HONSHU NE,HN-NE-2-1,Gojome Syncline,Sasaoka Fm.,SS/Tuff,2.8,1.7,Magstrat,Magnetite,Y,Fold-test (Positive),,,129,17,359.8,52.3,7.7,22.2,9.6,14.8,Individual,,39.90833333,140.1583333,82.99,321.54,32.89981388,"Hoshi and Yamada, 2016",10.1016/j.quaint.2015.05.022,,
HONSHU NE,NH-NE-8-1,Okura River,Shimokura dk swarm,Bslt, Andst, Dacite,8,8,K-Ar,Not-Specified,Y,Baked contact test,,,64,15,342,62.1,5.2,55,7,31,,,38.316,140.716,75.73,74.99,43.36012872,"Tsunakawa et al., 1985",10.1177/016555158501100107
HONSHU NE,HN-NE-12-1,Hachimantai,Kiritoshi,Dacite WT,12.8,10.4,K-Ar + FT,Mag + Hem,Y,Bedding-tilt test,,,12,,0.6,45.7,5.8,56.6,5.73939437,49.5841292,,,40.016,140.93,77.1,318.54,27.12919655,"Otofuji et al., 1994",10.1016/0012-821X(94)90087-6,,
HONSHU NE,NH-NE-14-1,Ishikosi,Ishikosi,Andesite,13.7,13.3,K-Ar,Magnetite/ Ti-Mag,Y,,,,8,,9.2,65.9,7.3,40.5,10.7,19,0,0,38.7,141.2,76.8,171,48.18280897,"Hoshi & Teranishi, 2007",10.1186/BF03352749,Averaged in April 2020,
HONSHU NE,NH-NE-14-2,Taiheizan,Okuramata Fm,Rhyolite WT,14.1,14.1,K-Ar + FT,Mag + Hem,Y,Bedding-tilt test,,,10,,350.1,61.1,5.1,92.2,6.300725442,49.37134522,,,39.7167,140.4,82.14,71.76,42.16866076,"Otofuji et al., 1994",10.1016/0012-821X(94)90087-6,,
HONSHU NE,NH-NE-14-3,Abukuma Terrane,Takadate,Andesite,15.32,13.56,K-Ar,Magnetite,Y,"Fold-test, reversal",,,117,11,355.3,12,13.5,16.5,13.5,25.37405954,Individual,,38,140.667,74.5,336.7,6.066524725,"Baba et al., 2007",10.1111/j.1365-246X.2007.03513.x,,
