Moving plate,Fixed plate,Moving plate ID,Age (GTS2020),Latitude,Longitude,Angle,Fixed Plate ID,Abbreviation,Chron according to time scale used in paper,Reference,Chron in paper,Age in paper,Comments,,,,,
South America,South Africa,201,18.007,60.28,321.60,6.692,701,!SAM-AFR,C5En y,DeMets and Merkouriev (2019),5E,18.056,,,,,,
South America,South Africa,201,18.636,60.17,321.74,7.019,701,!SAM-AFR,C6n y,DeMets and Merkouriev (2019),6ny,18.748,,,,,,
South America,South Africa,201,19.535,60.02,321.96,7.485,701,!SAM-AFR,C6n o,DeMets and Merkouriev (2019),6no,19.722,,,,,,
South America,South Africa,201,20.765,59.82,322.20,7.960,701,!SAM-AFR,C6An.2n o,DeMets and Merkouriev (2019),6An.2,20.709,,,,,,
South America,South Africa,201,21.806,59.54,322.52,8.463,701,!SAM-AFR,C6Bn.1n y,DeMets and Merkouriev (2019),6Bn.1,21.767,,,,,,
South America,South Africa,201,24.025,58.79,323.29,9.432,701,!SAM-AFR,C7n.1n y,DeMets and Merkouriev (2019),7n.1,23.962,,,,,,
South America,South Africa,201,24.459,58.60,323.48,9.649,701,!SAM-AFR,C7n.2n o,DeMets and Merkouriev (2019),7n.2,24.474,,,,,,
South America,South Africa,201,25.099,58.38,323.71,9.913,701,!SAM-AFR,C8n.1n y,DeMets and Merkouriev (2019),8n.1,25.099,,,,,,
South America,South Africa,201,25.987,58.07,324.02,10.287,701,!SAM-AFR,C8n.2n o,DeMets and Merkouriev (2019),8n.2,25.987,,,,,,
South America,South Africa,201,26.420,57.93,324.17,10.469,701,!SAM-AFR,C9n y,DeMets and Merkouriev (2019),9ny,26.42,,,,,,
South America,South Africa,201,27.439,57.64,324.49,10.897,701,!SAM-AFR,C9n o,DeMets and Merkouriev (2019),9no,27.439,,,,,,
South America,South Africa,201,27.869,57.55,324.61,11.073,701,!SAM-AFR,C10n.1n y,DeMets and Merkouriev (2019),10n.1,27.859,,,,,,
South America,South Africa,201,28.278,57.47,324.71,11.249,701,!SAM-AFR,C10n.2n o,DeMets and Merkouriev (2019),10n.2,28.278,,,,,,
South America,South Africa,201,29.183,57.35,324.90,11.629,701,!SAM-AFR,C11n.1n y,DeMets and Merkouriev (2019),11n.1,29.183,,,,,,
South America,South Africa,201,29.970,57.28,325.03,11.959,701,!SAM-AFR,C11n.2n o,DeMets and Merkouriev (2019),11n.2,29.97,,,,,,
South America,South Africa,201,30.591,57.23,325.14,12.220,701,!SAM-AFR,C12n y,DeMets and Merkouriev (2019),12ny,30.591,,,,,,
South America,South Africa,201,30.977,57.20,325.21,12.407,701,!SAM-AFR,C12n o,DeMets and Merkouriev (2019),12no,31.034,,,,,,
South America,South Africa,201,33.214,57.06,325.53,13.317,701,!SAM-AFR,C13n y,DeMets and Merkouriev (2019),13ny,33.157,,,,,,
South America,South Africa,201,33.726,57.02,325.62,13.551,701,!SAM-AFR,C13n o,DeMets and Merkouriev (2019),13no,33.705,,,,,,
South America,South Africa,201,38.398,57.10,-33.00,15.912,701,!SAM-AFR,C18n.1n y,Müller et al. (1999),An18,38.4,,,,,,
South America,South Africa,201,46.235,56.95,-31.15,19.107,701,!SAM-AFR,C21n y,Müller et al. (1999),An21,46.3,,,,,,
South America,South Africa,201,52.540,58.89,-31.18,21.380,701,!SAM-AFR,C24n.1n y,Müller et al. (1999),An24,52.4,,,,,,
South America,South Africa,201,57.101,61.35,-32.21,22.273,701,!SAM-AFR,C25n y,Müller et al. (1999),An25,55.9,,,,,,
South America,South Africa,201,66.380,63.88,-33.61,24.755,701,!SAM-AFR,C30n y,Müller et al. (1999),An30,65.6,,,,,,
South America,South Africa,201,71.851,63.41,-33.38,26.573,701,!SAM-AFR,C32n.2n y,Müller et al. (1999),An32,71.6,,,,,,
South America,South Africa,201,79.900,62.92,-34.36,30.992,701,!SAM-AFR,C33n o,Müller et al. (1999),An33o,79.1,,,,,,
South America,South Africa,201,83.650,61.88,-34.26,33.512,701,!SAM-AFR,C34n y,Müller et al. (1999),An34,83,,,,,,
South America,South Africa,201,92.00,60.84,-36.50,38.58,701,!SAM-AFR,Q1,Granot and Dyment (2015),Q1,92,Based on anomalies related to geomagnetic field variations during CNS,,,,,
South America,South Africa,201,108.00,62.17,-40.17,47.35,701,!SAM-AFR,Q2,Granot and Dyment (2015),Q2,108,Based on anomalies related to geomagnetic field variations during CNS,,,,,
South America,South Africa,201,121.40,51.40,-35.00,52.60,701,!SAM-AFR,M1n y,Gaina et al. (2013),M1n y,121,,,,,,
South America,South Africa,201,126.514,50.60,-33.80,54.20,701,!SAM-AFR,M5n y,Gaina et al. (2013),M4n y,125.67,"GTS2020 refers to this anomaly as chron M5 (instead of 'M4'), see Table 5.4",,,,,
South America,South Africa,201,128.951,50.10,-33.60,54.98,701,!SAM-AFR,M8n y,Gaina et al. (2013),M8n y,127.79,,,,,,
South America,South Africa,201,130.297,49.00,-33.30,55.66,701,!SAM-AFR,M10n y,Gaina et al. (2013),M10n y,128.93,,,,,,
South America,South Africa,201,133.565,50.00,-32.50,55.08,701,!SAM-AFR,M11r.1n y,"Torsvik et al. (2009); breakup fit, original Euler pole from Nürnberg and Müller (1991)",M11,131.7,"Shown by Owen-Smith et al. (2019) to provide best pre-breakup fit, where age of breakup is ~134 Ma",,,,,
South America,South Africa,201,330,50.00,-32.50,55.08,701,!SAM-AFR,,,,,,,,,,
Parana,South America,202,0,0,0,0,201,!PAR-SAM,,,,,,,,,,
Parana,South America,202,126.514,0,0,0,201,!PAR-SAM,M5n y,Torsvik et al. (2009),M4 ,125.7,"GTS2020 refers to this anomaly as chron M5 (instead of 'M4'), see Table 5.4",,,,,
Parana,South Africa,202,126.514,50.6,-33.8,54.2,701,!PAR-AFR,M5n y,cross-over of Torsvik et al. (2009) changed to match with EP of Gaina et al. (2013),M4,125.7,,,,,,
Parana,South Africa,202,133.565,47.5,-33.3,56.0,701,!PAR-AFR,M11r.1n y,Torsvik et al. (2009),M11,131.7,Motion relative to South America (Amazonia) accommodated by Parana-Etendeka Fracture Zone,,,,,
Parana,South Africa,202,150,47.5,-33.3,56.2,701,!PAR-AFR,,Torsvik et al. (2009); breakup fit,,150,Motion relative to South America (Amazonia) accommodated by Parana-Etendeka Fracture Zone,,,,,
Parana,South Africa,202,330,47.5,-33.3,56.2,701,!PAR-AFR,,,,,,,,,,
Colorado,South America,290,0,0,0,0,201,!COL-SAM,,,,,,,,,,
Colorado,South America,290,126.514,0,0,0,201,!COL-SAM,M5n y,Torsvik et al. (2009),M4 ,125.7,"GTS2020 refers to this anomaly as chron M5 (instead of 'M4'), see Table 5.4",,,,,
Colorado,South Africa,290,126.514,50.6,-33.8,54.2,701,!COL-AFR,M5n y,cross-over of Torsvik et al. (2009) changed to match with EP of Gaina et al. (2013),M4,125.7,,,,,,
Colorado,South Africa,290,133.565,47.5,-33.3,57.0,701,!COL-AFR,M11r.1n y,Torsvik et al. (2009),M11,131.7,Motion relative to South America (Amazonia) accommodated by Parana-Etendeka Fracture Zone,,,,,
Colorado,South Africa,290,150,47.5,-33.3,57.3,701,!COL-AFR,,Torsvik et al. (2009); breakup fit,,150,Motion relative to South America (Amazonia) accommodated by Parana-Etendeka Fracture Zone,,,,,
Colorado,South Africa,290,330,47.5,-33.3,57.3,701,!COL-AFR,,,,,,,,,,
Patagonia,South America,291,0,0,0,0,201,!PAT-SAM,,,,,,,,,,
Patagonia,South America,291,126.514,0,0,0,201,!PAT-SAM,M5n y,Torsvik et al. (2009),M4 ,125.7,"GTS2020 refers to this anomaly as chron M5 (instead of 'M4'), see Table 5.4",,,,,
Patagonia,South Africa,291,126.514,50.6,-33.8,54.2,701,!PAT-SAM,M5n y,cross-over of Torsvik et al. (2009) changed to match with EP of Gaina et al. (2013),M4,125.7,,,,,,
Patagonia,South Africa,291,133.565,47.5,-33.3,57.0,701,!PAT-SAM,M11r.1n y,Torsvik et al. (2009),M11,131.7,,,,,,
